"","sampleId","richness","tot_dens","sampleDate"
"1",100380,11,6881.72043010753,1993-06-29
"2",100384,24,10924.7311827957,1993-08-25
"3",100385,12,7365.59139784946,1993-08-25
"4",100386,15,7301.0752688172,1993-08-25
"5",100388,10,5322.58064516129,1993-06-28
"6",100389,14,4204.30107526882,1993-06-28
"7",100391,15,16731.1827956989,1993-06-28
"8",100401,19,4096.77419354839,1993-08-13
"9",100402,13,29859.3879239041,1993-08-23
"10",100403,13,27708.8502894955,1993-08-23
"11",100404,14,19591.3978494624,1993-08-23
"12",100408,14,4591.39784946237,1993-08-25
"13",100409,10,4408.60215053763,1993-08-25
"14",100413,19,4881.72043010753,1993-08-10
"15",100427,18,30107.5268817204,1993-07-02
"16",100428,12,13032.2580645161,1993-07-02
"17",100430,10,83126.5508684863,1993-07-01
"18",100431,11,40989.247311828,1993-07-01
"19",100432,16,3483.87096774194,1993-08-23
"20",100433,14,13935.4838709677,1993-08-23
"21",100438,5,18258.064516129,1993-09-01
"22",100439,6,30924.7311827957,1993-09-01
"23",100440,6,24172.0430107527,1993-09-01
"24",100442,24,4236.55913978495,1993-08-11
"25",100444,13,43956.9892473118,1993-07-01
"26",100445,13,57462.3655913979,1993-07-01
"27",100446,16,28795.6989247312,1993-07-01
"28",100447,18,25440.8602150538,1993-09-02
"29",100448,16,8817.20430107527,1993-09-02
"30",100449,16,29849.4623655914,1993-09-02
"31",100459,17,8989.24731182796,1993-08-24
"32",100517,22,2096.77419354839,1993-10-05
"33",100519,14,6655.91397849462,1993-10-05
"34",100521,14,2172.04301075269,1993-10-05
"35",100522,17,2838.70967741935,1993-10-05
"36",100981,18,2301.0752688172,1993-09-03
"37",100982,17,2661.29032258065,1993-09-03
"38",100983,24,1655.91397849462,1993-09-03
"39",101694,16,5365.59139784946,1994-06-15
"40",101701,19,10387.0967741935,1994-08-11
"41",101702,16,7655.91397849462,1994-08-11
"42",101703,19,4161.29032258064,1994-08-11
"43",101706,19,5279.56989247312,1994-06-03
"44",101724,19,3580.64516129032,1994-06-15
"45",102599,22,8430.10752688172,1994-09-14
"46",102600,21,8365.59139784946,1994-09-14
"47",102602,14,13290.3225806452,1994-09-29
"48",102603,17,28989.247311828,1994-09-29
"49",102605,20,6731.18279569892,1995-08-17
"50",102606,13,13849.4623655914,1995-08-17
"51",102607,17,17376.3440860215,1995-08-17
"52",102608,23,19096.7741935484,1995-08-17
"53",102611,12,8774.1935483871,1995-08-16
"54",102613,14,14064.5161290323,1995-08-16
"55",102728,12,4225.8064516129,1995-09-13
"56",102733,12,5161.29032258064,1995-09-13
"57",102742,28,5397.84946236559,1995-09-28
"58",102747,15,7053.76344086022,1995-08-22
"59",102750,23,4161.29032258064,1995-09-01
"60",102764,20,6688.17204301075,1995-07-31
"61",102765,20,7032.25806451613,1995-07-31
"62",102769,19,18193.5483870968,1995-09-21
"63",102771,18,33806.4516129032,1995-09-21
"64",102772,18,16215.0537634409,1995-09-12
"65",102773,19,21118.2795698925,1995-09-12
"66",102774,17,18709.6774193548,1995-09-12
"67",104800,5,9310.55709449061,1993-12-04
"68",104801,8,5819.83805668016,1993-12-04
"69",104802,6,7874.2997283066,1994-01-12
"70",104803,9,9333.01350185144,1994-01-12
"71",104804,10,8635.68239923701,1994-01-12
"72",104806,5,13830.8038962975,1994-02-17
"73",104807,7,9143.65797591885,1994-02-17
"74",104808,15,12443.1273093399,1994-02-17
